provider,cores,ram,disk,price,type,name,net-opt
Microsoft,1,0.75,20,0.02,standard,A0,0
Microsoft,1,1.75,70,0.06,standard,A1,0
Microsoft,2,3.5,135,0.12,standard,A2,0
Microsoft,4,7,285,0.24,standard,A3,0
Microsoft,8,14,605,.48,standard,A4,0
Microsoft,2,14,135,0.25,standard,A5,0
Microsoft,4,28,285,0.5,standard,A6,0
Microsoft,8,56,605,1,standard,A7,0
Microsoft,1,3.5,50,0.094,compOpt,D1,0
Microsoft,2,7,100,0.188,compOpt,D2,0
Microsoft,4,14,200,0.376,compOpt,D3,0
Microsoft,8,28,400,0.752,compOpt,D4,0
Microsoft,2,14,100,0.238,compOpt,D11,0
Microsoft,4,28,200,0.476,compOpt,D12,0
Microsoft,8,56,400,0.857,compOpt,D13,0
Microsoft,16,112,800,1.542,compOpt,D14,0
Google,1,.6,0,.012,standard,f1-micro,0
Google,1,1.7,0,.032,standard,g1-micro,0
Google,1,3.75,0,0.063,standard,n1-standard-1,0
Google,2,7.5,0,0.126,standard,n1-standard-2,0
Google,4,15,0,0.252,standard,n1-standard-4,0
Google,8,30,0,0.504,standard,n1-standard-8,0
Google,16,60,0,1.008,standard,n1-standard-16,0
Google,2,13,0,0.148,memOpt,n1-highmem-2,0
Google,4,26,0,0.296,memOpt,n1-highmem-4,0
Google,8,52,0,0.592,memOpt,n1-highmem-8,0
Google,16,104,0,1.184,memOpt,n1-highmem-16,0
Google,2,1.8,0,0.08,compOpt,n1-highcpu-2,0
Google,4,3.6,0,0.16,compOpt,n1-highcpu-4,0
Google,8,7.2,0,0.32,compOpt,n1-highcpu-8,0
Google,16,14.4,0,0.64,compOpt,n1-highcpu-16,0
Amazon,1,1,0,0.013,standard,t2.micro,0
Amazon,1,2,0,0.026,standard,t2.small,0
Amazon,2,4,0,0.052,standard,t2.medium,0
Amazon,1,3.75,4,0.07,standard,m3.medium,0
Amazon,2,7.5,32,0.14,standard,m3.large,0
Amazon,4,15,80,0.28,standard,m3.xlarge,0
Amazon,8,30,160,0.56,standard,m3.2xlarge,0
Amazon,2,3.75,32,0.105,compOpt,c3.large,0
Amazon,4,7.5,80,0.21,compOpt,c3.xlarge,0
Amazon,8,15,160,0.42,compOpt,c3.2xlarge,0
Amazon,16,30,320,0.84,compOpt,c3.4xlarge,0
Amazon,32,60,640,1.68,compOpt,c3.8xlarge,0
Amazon,2,15,32,0.175,memOpt,r3.large,0
Amazon,4,30.5,80,0.35,memOpt,r3.xlarge,0
Amazon,8,61,160,0.7,memOpt,r3.2xlarge,0
Amazon,16,122,320,1.4,memOpt,r3.4xlarge,0
Amazon,32,244,640,2.8,memOpt,r3.8xlarge,0
